Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6236934,2017-10-31 05:40:29,2017-10-31 05:27:14,13884983,4165494900,13884983,300,1956,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236934,SRX3345177,CAU10_ATCACG_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645820,SAMN07956263,simple,7460,Apis mellifera,CAU10,,,,,male,,no,,,,,INRA,SRA626514,,public,39983FE222239E54745D5FD776362CC6,D52096AD6C1CF2E180B4B8C78939D417
SRR6236933,2017-10-31 05:42:13,2017-10-31 05:26:02,16815689,5044706700,16815689,300,2319,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236933,SRX3345178,CAU11_CGATGT_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645822,SAMN07956264,simple,7460,Apis mellifera,CAU11,,,,,male,,no,,,,,INRA,SRA626514,,public,7097B97C6FBEB104AD0DD93B6F3357A5,1BE622F18B97083FF0530AEEE37F2891
SRR6236940,2017-10-31 05:36:14,2017-10-31 05:23:48,13437684,4031305200,13437684,300,1870,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236940,SRX3345171,CAU12_TTAGGC_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645815,SAMN07956265,simple,7460,Apis mellifera,CAU12,,,,,male,,no,,,,,INRA,SRA626514,,public,823D757BC17DFEC910CFFE2DDE60B1FE,9E673C40ADBCA52AB423EA8B0EB89D2C
SRR6236939,2017-10-31 05:52:13,2017-10-31 05:30:47,26555010,7966503000,26555010,300,3684,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236939,SRX3345172,CAU14_TGACCA_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645816,SAMN07956266,simple,7460,Apis mellifera,CAU14,,,,,male,,no,,,,,INRA,SRA626514,,public,83CBDF735C10FF8C4A46DFC3AD918881,DFAF8F979D78CBD4A70D9B3E5E787B99
SRR6236938,2017-10-31 05:49:12,2017-10-31 05:34:26,24342151,7302645300,24342151,300,3377,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236938,SRX3345173,CAU17_ACAGTG_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645818,SAMN07956267,simple,7460,Apis mellifera,CAU17,,,,,male,,no,,,,,INRA,SRA626514,,public,02B1B1B3E4A9CA100879E676EE11EF56,FED9AE16E0E5D4247B31A25069D267D0
SRR6236944,2017-10-31 05:58:12,2017-10-31 05:38:47,25592042,7677612600,25592042,300,3528,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236944,SRX3345167,CAU20_GCCAAT_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645811,SAMN07956268,simple,7460,Apis mellifera,CAU20,,,,,male,,no,,,,,INRA,SRA626514,,public,4C46B8D75760634A7A77D4EBBFFE6EDC,155EF7DB0CD0DE391AA294F547882710
SRR6236943,2017-10-31 06:11:14,2017-10-31 06:05:03,15851968,4755590400,15851968,300,2207,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236943,SRX3345168,CAU21_CAGATC_L001,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645812,SAMN07956269,simple,7460,Apis mellifera,CAU21,,,,,male,,no,,,,,INRA,SRA626514,,public,8E7FE5E168F74562226206D55E3058E7,49A7571D304FA67064CCD7D930BE73AE
SRR6236969,2017-10-31 05:33:12,2017-10-31 05:24:08,12006781,3602034300,12006781,300,1662,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236969,SRX3345142,CAU5_CCGTCC_L007,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645786,SAMN07956270,simple,7460,Apis mellifera,CAU5,,,,,male,,no,,,,,INRA,SRA626514,,public,B4CE677EB546E7AD1C84B9BB2CD9A0C4,C80A21F263F14A434670DF65383DAE3F
SRR6236946,2017-10-31 05:30:12,2017-10-31 05:23:10,12947873,3884361900,12947873,300,1805,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236946,SRX3345165,CAU6_GTCCGC_L007,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645809,SAMN07956271,simple,7460,Apis mellifera,CAU6,,,,,male,,no,,,,,INRA,SRA626514,,public,F12118ACA94AEEC71F2D18E88C7F1F9F,0FC110B27EBAD2EA196C548A179CA35A
SRR6236945,2017-10-31 05:29:14,2017-10-31 05:23:37,12393568,3718070400,12393568,300,1693,,https://sra-download.ncbi.nlm.nih.gov/traces/sra53/SRR/006090/SRR6236945,SRX3345166,CAU7_GTGAAA_L007,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP069814,PRJNA311274,2,311274,SRS2645810,SAMN07956272,simple,7460,Apis mellifera,CAU7,,,,,male,,no,,,,,INRA,SRA626514,,public,2CAEC89FE0C76CEA3A2F42AE6D6C9E92,D45EA4BF646B739214CEAE129C9DCD90
